SCHOOL_NAME,COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,FacultyAttendance
Wood-Ridge Jr/Sr High School,3,5830,50,BERGEN,WOOD-RIDGE BORO,96
Catherine E. Doyle Elementary School,3,5830,60,BERGEN,WOOD-RIDGE BORO,98
WOOD-RIDGE INTERMEDIATE SCHOOL,3,5830,300,BERGEN,WOOD-RIDGE BORO,96
Dorchester Elementary School,3,5880,30,BERGEN,WOODCLIFF LAKE BORO,98
Woodcliff Middle School,3,5880,50,BERGEN,WOODCLIFF LAKE BORO,98
Abraham Lincoln Elementary School,3,5920,10,BERGEN,WYCKOFF TWP,99
Calvin Coolidge Elementary School,3,5920,20,BERGEN,WYCKOFF TWP,98
Dwight D. Eisenhower Middle School,3,5920,25,BERGEN,WYCKOFF TWP,98
George Washington Elementary School,3,5920,30,BERGEN,WYCKOFF TWP,98
Sicomac Elementary School,3,5920,50,BERGEN,WYCKOFF TWP,99
BASS RIVER TOWNSHIP ELEMENTARY SCHOOL,5,200,50,BURLINGTON,BASS RIVER TWP,96
Beverly City School,5,380,25,BURLINGTON,BEVERLY CITY,89
Bordentown Regional High School,5,475,50,BURLINGTON,BORDENTOWN REGIONAL,97
Bordentown Regional Middle School,5,475,55,BURLINGTON,BORDENTOWN REGIONAL,93
Clara Barton Elementary,5,475,60,BURLINGTON,BORDENTOWN REGIONAL,92
Mac Farland Intermediate,5,475,90,BURLINGTON,BORDENTOWN REGIONAL,87
Peter Muschal Elementary,5,475,100,BURLINGTON,BORDENTOWN REGIONAL,93
Bulington City High School,5,600,20,BURLINGTON,BURLINGTON CITY,97
Captain James Lawrence Elementary School,5,600,40,BURLINGTON,BURLINGTON CITY,97
Elias Boudinot Elementary School,5,600,50,BURLINGTON,BURLINGTON CITY,98
Samuel Smith Elementary School,5,600,80,BURLINGTON,BURLINGTON CITY,97
Wilbur Watts Intermediate School,5,600,85,BURLINGTON,BURLINGTON CITY,98
WESTAMPTON CAMPUS,5,605,30,BURLINGTON,BURLINGTON CO SPEC SERV,95
LUMBERTON CAMPUS,5,605,55,BURLINGTON,BURLINGTON CO SPEC SERV,94
BURLINGTON COUNTY INST OF TECH - Westhampton,5,610,30,BURLINGTON,BURLINGTON CO VOCATIONAL,98
BURLINGTON COUNTY INST OF TECH - Medford,5,610,40,BURLINGTON,BURLINGTON CO VOCATIONAL,97
Burlington Township High School,5,620,10,BURLINGTON,BURLINGTON TWP,97
B. Bernice Young Elementary School,5,620,30,BURLINGTON,BURLINGTON TWP,95
Fountain Woods Elementary School,5,620,37,BURLINGTON,BURLINGTON TWP,96
Burlington Township Middle School at Springside,5,620,51,BURLINGTON,BURLINGTON TWP,97
Chesterfield Township Elementary School,5,830,25,BURLINGTON,CHESTERFIELD TWP,97
CINNAMINSON HIGH SCHOOL,5,840,30,BURLINGTON,CINNAMINSON TWP,97
CINNAMINSON MIDDLE SCHOOL,5,840,53,BURLINGTON,CINNAMINSON TWP,97
NEW ALBANY,5,840,55,BURLINGTON,CINNAMINSON TWP,96
ELEANOR RUSH INTERMEDIATE SCHOOL,5,840,60,BURLINGTON,CINNAMINSON TWP,96
M. Joan Pearson Elementary School,5,1030,30,BURLINGTON,DELANCO TWP,94
Walnut Street School,5,1030,60,BURLINGTON,DELANCO TWP,95
Delran High School,5,1060,5,BURLINGTON,DELRAN TWP,96
Delran Middle School,5,1060,7,BURLINGTON,DELRAN TWP,96
Delran Intermediate School,5,1060,15,BURLINGTON,DELRAN TWP,94
Millbridge Elementary School,5,1060,50,BURLINGTON,DELRAN TWP,96
Eastampton Township Community School,5,1250,60,BURLINGTON,EASTAMPTON TWP,96
Midred Magowan Elementary School,5,1280,50,BURLINGTON,EDGEWATER PARK TWP,98
Samuel M Ridgway Middle School,5,1280,70,BURLINGTON,EDGEWATER PARK TWP,98
Frances DeMasi Elementary School,5,1420,30,BURLINGTON,EVESHAM TWP,96
Frances DeMasi Middle School,5,1420,40,BURLINGTON,EVESHAM TWP,97
Florence V Evans,5,1420,50,BURLINGTON,EVESHAM TWP,97
Helen L Beeler,5,1420,55,BURLINGTON,EVESHAM TWP,97
J Harold Van Zant,5,1420,57,BURLINGTON,EVESHAM TWP,97
Marlton Elementary,5,1420,58,BURLINGTON,EVESHAM TWP,97
Marlton Middle,5,1420,60,BURLINGTON,EVESHAM TWP,96
Richard L Rice School,5,1420,65,BURLINGTON,EVESHAM TWP,97
Robert B Jaggard School,5,1420,70,BURLINGTON,EVESHAM TWP,97
Florence Township Memorial High School,5,1520,50,BURLINGTON,FLORENCE TWP,97
Florence Riverfront School,5,1520,55,BURLINGTON,FLORENCE TWP,97
Roebling Elementary School,5,1520,70,BURLINGTON,FLORENCE TWP,96
Hainesport Township School,5,1910,50,BURLINGTON,HAINESPORT TWP,97
Cherokee High School,5,2610,40,BURLINGTON,LENAPE REGIONAL,99
Lenape High School,5,2610,50,BURLINGTON,LENAPE REGIONAL,96
Shawnee High School,5,2610,60,BURLINGTON,LENAPE REGIONAL,96
Seneca High School,5,2610,70,BURLINGTON,LENAPE REGIONAL,96
Ashbrook Elementary School,5,2850,10,BURLINGTON,LUMBERTON TWP,97
Bobby's Run Elementary School,5,2850,20,BURLINGTON,LUMBERTON TWP,97
Florence L. Walther School,5,2850,50,BURLINGTON,LUMBERTON TWP,98
Lumberton Middle School,5,2850,60,BURLINGTON,LUMBERTON TWP,96
John Hydock Elementary School,5,2960,30,BURLINGTON,MANSFIELD TWP,88
Mansfield Township Elementary School,5,2960,40,BURLINGTON,MANSFIELD TWP,94
Maple Shade High School,5,3010,30,BURLINGTON,MAPLE SHADE TWP,97
Maude M. Wilkins Elementary School,5,3010,80,BURLINGTON,MAPLE SHADE TWP,97
Howard R. Yocum Elementary School,5,3010,90,BURLINGTON,MAPLE SHADE TWP,98
Ralph J. Steinhauer Elementary School,5,3010,100,BURLINGTON,MAPLE SHADE TWP,98
Neeta School,5,3070,40,BURLINGTON,MEDFORD LAKES BORO,99
Nokomis School,5,3070,50,BURLINGTON,MEDFORD LAKES BORO,97
Chairville Elementary School,5,3080,30,BURLINGTON,MEDFORD TWP,97
Cranberry Pines Elementary,5,3080,40,BURLINGTON,MEDFORD TWP,98
Kirby's Mill Elementary School,5,3080,45,BURLINGTON,MEDFORD TWP,98
Haines Sixth Grade Center,5,3080,50,BURLINGTON,MEDFORD TWP,98
Medford Memorial Middle School,5,3080,55,BURLINGTON,MEDFORD TWP,98
Milton H. Allen Elementary School,5,3080,60,BURLINGTON,MEDFORD TWP,98
Taunton Forge Elementary School,5,3080,70,BURLINGTON,MEDFORD TWP,98
Moorestown High School,5,3360,40,BURLINGTON,MOORESTOWN TWP,92
George C. Baker Elementary School,5,3360,60,BURLINGTON,MOORESTOWN TWP,93
Mary E. Roberts Elementary School,5,3360,100,BURLINGTON,MOORESTOWN TWP,89
William Allen Middle School,5,3360,110,BURLINGTON,MOORESTOWN TWP,90
Moorestown Upper Elementary School,5,3360,115,BURLINGTON,MOORESTOWN TWP,90
South Valley Elementary School,5,3360,120,BURLINGTON,MOORESTOWN TWP,91
John Brainerd Elementary School,5,3430,40,BURLINGTON,MOUNT HOLLY TWP,98
Gertrude C. Folwell Elementary School,5,3430,50,BURLINGTON,MOUNT HOLLY TWP,97
F. W. Holbein Middle School,5,3430,60,BURLINGTON,MOUNT HOLLY TWP,97
Countryside Elementary School,5,3440,10,BURLINGTON,MOUNT LAUREL TWP,97
Fleetwood Elementary School,5,3440,45,BURLINGTON,MOUNT LAUREL TWP,97
Hartford Upper Elementary School,5,3440,47,BURLINGTON,MOUNT LAUREL TWP,97
Hillside Elementary School,5,3440,50,BURLINGTON,MOUNT LAUREL TWP,97
Larchmont Elementary School,5,3440,55,BURLINGTON,MOUNT LAUREL TWP,98
T. E. Harrington Middle School,5,3440,60,BURLINGTON,MOUNT LAUREL TWP,97
Parkway Elementary School,5,3440,65,BURLINGTON,MOUNT LAUREL TWP,97
Springville Elementary School,5,3440,75,BURLINGTON,MOUNT LAUREL TWP,97
New Hanover Township School,5,3540,50,BURLINGTON,NEW HANOVER TWP,95
Discovery Elementary School,5,3650,20,BURLINGTON,NORTH HANOVER TWP,96
Atlantis Elementary School,5,3650,30,BURLINGTON,NORTH HANOVER TWP,82
North Hanover Township Upper Elementary School,5,3650,36,BURLINGTON,NORTH HANOVER TWP,96
Clarence B. Lamb Elementary School,5,3650,40,BURLINGTON,NORTH HANOVER TWP,97
Northern Burlington County Regional High School,5,3690,50,BURLINGTON,NORTHERN BURLINGTON REG,98
Northern Burlington County Regional Middle School,5,3690,60,BURLINGTON,NORTHERN BURLINGTON REG,98
Palmyra High School,5,3920,50,BURLINGTON,PALMYRA BORO,97
Charles Street School,5,3920,60,BURLINGTON,PALMYRA BORO,98
Helen A. Fort/Marcus Newcomb Middle School,5,4050,50,BURLINGTON,PEMBERTON TWP,96
Pemberton Township High School,5,4050,55,BURLINGTON,PEMBERTON TWP,96
Howard L. Emmons,5,4050,85,BURLINGTON,PEMBERTON TWP,96
Harker-Wylie/Isaiah Haines School,5,4050,90,BURLINGTON,PEMBERTON TWP,94
Fort Dix Elementary School,5,4050,110,BURLINGTON,PEMBERTON TWP,97
Alexander Denbo,5,4050,130,BURLINGTON,PEMBERTON TWP,94
Samuel T. Busansky School,5,4050,135,BURLINGTON,PEMBERTON TWP,95
Joseph S. Stackhouse School,5,4050,140,BURLINGTON,PEMBERTON TWP,93
Pemberton Early Childhood Education Center,5,4050,300,BURLINGTON,PEMBERTON TWP,95
Rancocas Valley Regional High School,5,4320,50,BURLINGTON,RANCOCAS VALLEY REGIONAL,97
RIVERSIDE HIGH SCHOOL,5,4450,50,BURLINGTON,RIVERSIDE TWP,98
RIVERSIDE ELEMENTARY SCHOOL,5,4450,60,BURLINGTON,RIVERSIDE TWP,97
RIVERSIDE MIDDLE SCHOOL,5,4450,70,BURLINGTON,RIVERSIDE TWP,97
Riverton School,5,4460,50,BURLINGTON,RIVERTON,98
Indian Mills Elementary School,5,4740,50,BURLINGTON,SHAMONG TWP,94
Indian Mills Memorial School,5,4740,55,BURLINGTON,SHAMONG TWP,94
Southampton Township School #1,5,4930,50,BURLINGTON,SOUTHAMPTON TWP,98
Southampton Township School #2,5,4930,60,BURLINGTON,SOUTHAMPTON TWP,98
Southampton Township School #3,5,4930,70,BURLINGTON,SOUTHAMPTON TWP,98
Springfield Township School,5,5010,50,BURLINGTON,SPRINGFIELD TWP,100
Kenneth R. Olson Middle School,5,5130,40,BURLINGTON,TABERNACLE TWP,98
Tabernacle Elementary School,5,5130,60,BURLINGTON,TABERNACLE TWP,98
GREEN BANK E.S.,5,5490,50,BURLINGTON,Washington Township School District,97
Holly Hills Elementary School,5,5720,20,BURLINGTON,WESTAMPTON,97
Westampton Township Middle School,5,5720,50,BURLINGTON,WESTAMPTON,96
WILLINGBORO HIGH SCHOOL,5,5805,53,BURLINGTON,WILLINGBORO TWP,96
WILLINGBORO MEMORIAL MIDDLE SCHOOL,5,5805,57,BURLINGTON,WILLINGBORO TWP,96
GARFIELD EAST ELEMENTARY SCHOOL,5,5805,64,BURLINGTON,WILLINGBORO TWP,97
HAWTHORNE PARK ELELMENTARY SCHOOL,5,5805,65,BURLINGTON,WILLINGBORO TWP,97
W. R. JAMES SR. ELEMENTARY SCHOOL,5,5805,80,BURLINGTON,WILLINGBORO TWP,96
J. C. STUART ELEMENTARY SCHOOL,5,5805,90,BURLINGTON,WILLINGBORO TWP,98
TWIN HILLS ELEMENTARY SCHOOL,5,5805,120,BURLINGTON,WILLINGBORO TWP,96
Chatsworth Elementary School,5,5890,30,BURLINGTON,WOODLAND TWP,100
Audubon Junior/Senior High School,7,150,10,CAMDEN,AUDUBON BORO,97
Haviland Avenue School,7,150,40,CAMDEN,AUDUBON BORO,97
Mansion Avenue School,7,150,50,CAMDEN,AUDUBON BORO,98
Avon Elementary School,7,190,10,CAMDEN,BARRINGTON BORO,92
Woodland Middle School,7,190,30,CAMDEN,BARRINGTON BORO,90
BELL OAKS UPPER ELEMENTARY SCHOOL,7,260,15,CAMDEN,BELLMAWR BORO,98
BELLMAWR PARK ELEMENTARY SCHOOL,7,260,20,CAMDEN,BELLMAWR BORO,98
ETHEL M BURKE ELEMENTARY SCHOOL,7,260,30,CAMDEN,BELLMAWR BORO,98
Berlin Community School,7,330,20,CAMDEN,BERLIN BORO,91
Dwight D Eisenhower Middle School,7,340,30,CAMDEN,BERLIN TWP,89
John F Kennedy Elementary School,7,340,50,CAMDEN,BERLIN TWP,91
Highland Regional High School,7,390,20,CAMDEN,BLACK HORSE PIKE REGIONAL,98
Timber Creek Regional High School,7,390,30,CAMDEN,BLACK HORSE PIKE REGIONAL,97
Triton Regional High School,7,390,50,CAMDEN,BLACK HORSE PIKE REGIONAL,97
Alice Costello Elementary School,7,580,10,CAMDEN,BROOKLAWN BORO,97
Early Childhood Development Center,7,680,25,CAMDEN,CAMDEN CITY,96
Dr. Charles E. Brimm Medical Arts High School,7,680,29,CAMDEN,CAMDEN CITY,95
Camden High School,7,680,30,CAMDEN,CAMDEN CITY,96
Woodrow Wilson High School,7,680,40,CAMDEN,CAMDEN CITY,95
Veterans Memorial Family School,7,680,80,CAMDEN,CAMDEN CITY,97
Octavio V. Catto Community Family School,7,680,145,CAMDEN,CAMDEN CITY,96
Cooper's Poynt Family School,7,680,165,CAMDEN,CAMDEN CITY,96
Alfred Cramer College Preparatory Lab School,7,680,170,CAMDEN,CAMDEN CITY,97
Riletta Twyne Cream Family School,7,680,175,CAMDEN,CAMDEN CITY,97
Dr. Henry H. Davis Elementary School,7,680,180,CAMDEN,CAMDEN CITY,96
Thomas H. Dudley Family School,7,680,190,CAMDEN,CAMDEN CITY,96
Forest Hill School,7,680,205,CAMDEN,CAMDEN CITY,97
Cooper B. Hatch Family School,7,680,210,CAMDEN,CAMDEN CITY,95
Creative Arts Morgan Village Academy,7,680,245,CAMDEN,CAMDEN CITY,97
Harry C. Sharp Elementary School,7,680,300,CAMDEN,CAMDEN CITY,97
Henry L. Bonsall Family School,7,680,301,CAMDEN,CAMDEN CITY,96
Rafael Cordero Molina Elementary School,7,680,302,CAMDEN,CAMDEN CITY,98
John Greenleaf Whittier Family School,7,680,303,CAMDEN,CAMDEN CITY,96
Francis X. McGraw Elementary,7,680,304,CAMDEN,CAMDEN CITY,96
Met East High School,7,680,305,CAMDEN,CAMDEN CITY,98
Charles Sumner Elementary School,7,680,310,CAMDEN,CAMDEN CITY,96
Dr. Ulysses S. Wiggins College Preparatory Lab School,7,680,320,CAMDEN,CAMDEN CITY,97
Henry B. Wilson Family School,7,680,350,CAMDEN,CAMDEN CITY,96
Yorkship Elementary School,7,680,360,CAMDEN,CAMDEN CITY,97
Camden County Technical School-Pennsauken,7,700,30,CAMDEN,CAMDEN COUNTY VOCATIONAL,90
Camden County Technical School-GTC,7,700,40,CAMDEN,CAMDEN COUNTY VOCATIONAL,90
Cherry Hill High School East,7,800,30,CAMDEN,CHERRY HILL TWP,96
Cherry Hill High School West,7,800,40,CAMDEN,CHERRY HILL TWP,97
A. Russell Knight Elementary School,7,800,58,CAMDEN,CHERRY HILL TWP,96
Alternative High School,7,800,60,CAMDEN,CHERRY HILL TWP,94
Barclay Early Childhood Center,7,800,62,CAMDEN,CHERRY HILL TWP,97
John A. Carusi Middle School,7,800,67,CAMDEN,CHERRY HILL TWP,96
Bret Harte Elementary School,7,800,68,CAMDEN,CHERRY HILL TWP,96
Clara Barton Elementary School,7,800,69,CAMDEN,CHERRY HILL TWP,97
Henry C. Beck Middle School,7,800,73,CAMDEN,CHERRY HILL TWP,96
Rosa International Middle School,7,800,74,CAMDEN,CHERRY HILL TWP,96
Horace Mann Elementary School,7,800,75,CAMDEN,CHERRY HILL TWP,96
James F. Cooper Elementary School,7,800,83,CAMDEN,CHERRY HILL TWP,96
James Johnson Elementary School,7,800,85,CAMDEN,CHERRY HILL TWP,97
Joseph D. Sharp Elementary School,7,800,100,CAMDEN,CHERRY HILL TWP,97
Joyce Kilmer Elementary School,7,800,105,CAMDEN,CHERRY HILL TWP,96
Kingston Elementary School,7,800,110,CAMDEN,CHERRY HILL TWP,96
Richard Stockton Elementary School,7,800,113,CAMDEN,CHERRY HILL TWP,97
Thomas Paine Elementary School,7,800,115,CAMDEN,CHERRY HILL TWP,96
Woodcrest Elementary School,7,800,130,CAMDEN,CHERRY HILL TWP,96
Clementon Elementary School,7,880,10,CAMDEN,CLEMENTON BORO,0
Collingswood High School,7,940,30,CAMDEN,COLLINGSWOOD BORO,98
Collingswood Middle School,7,940,40,CAMDEN,COLLINGSWOOD BORO,97
James A. Garfield Elementary School,7,940,50,CAMDEN,COLLINGSWOOD BORO,99
Mark Newbie Elementary School,7,940,60,CAMDEN,COLLINGSWOOD BORO,98
Thomas Sharp Elementary School,7,940,70,CAMDEN,COLLINGSWOOD BORO,98
William P Tatem Elementary School,7,940,80,CAMDEN,COLLINGSWOOD BORO,98
Zane North Elementary School,7,940,90,CAMDEN,COLLINGSWOOD BORO,97
Eastern Regional High School,7,1255,50,CAMDEN,EASTERN CAMDEN COUNTY REG,97
Gibbsboro Elementary School,7,1720,20,CAMDEN,GIBBSBORO BORO,94
Gloucester City Jr. Sr. High School,7,1770,50,CAMDEN,GLOUCESTER CITY,77
Mary Ethel Costello School,7,1770,100,CAMDEN,GLOUCESTER CITY,93
Cold Springs School,7,1770,160,CAMDEN,GLOUCESTER CITY,94
BLACKWOOD ELEMENTARY SCHOOL,7,1780,20,CAMDEN,GLOUCESTER TWP,95
CHARLES W. LEWIS MIDDLE SCHOOL,7,1780,35,CAMDEN,GLOUCESTER TWP,95
CHEWS ELEMENTARY SCHOOL,7,1780,40,CAMDEN,GLOUCESTER TWP,96
ERIAL ELEMENTARY SCHOOL,7,1780,50,CAMDEN,GLOUCESTER TWP,96
GLEN LANDING MIDDLE SCHOOL,7,1780,55,CAMDEN,GLOUCESTER TWP,95
GLENDORA ELEMENTARY SCHOOL,7,1780,60,CAMDEN,GLOUCESTER TWP,97
GLOUCESTER TOWNSHIP ELEMENTARY SCHOOL,7,1780,70,CAMDEN,GLOUCESTER TWP,95
JAMES W. LILLEY JR. ELEMENTARY SCHOOL,7,1780,85,CAMDEN,GLOUCESTER TWP,95
LORING-FLEMMING ELEMENTARY SCHOOL,7,1780,90,CAMDEN,GLOUCESTER TWP,96
ANN A. MULLEN MIDDLE SCHOOL,7,1780,100,CAMDEN,GLOUCESTER TWP,96
UNION VALLEY ELEMENTARY SCHOOL,7,1780,180,CAMDEN,GLOUCESTER TWP,96
KIPP: Cooper Norcross,7,1799,111,CAMDEN,KIPP: Cooper Norcross,99
Camden Prep Inc,7,1801,113,CAMDEN,Camden Prep Inc,99
Mastery Schools of Camden Inc,7,1802,112,CAMDEN,MASTERY SCHOOLS OF CAMDEN INC,98
HADDON HEIGHTS JR-SR HS,7,1880,50,CAMDEN,HADDON HEIGHTS BORO,91
GLENVIEW School,7,1880,60,CAMDEN,HADDON HEIGHTS BORO,93
ATLANTIC AVE,7,1880,80,CAMDEN,HADDON HEIGHTS BORO,88
SEVENTH AVE,7,1880,90,CAMDEN,HADDON HEIGHTS BORO,84
HADDON TOWNSHIP HIGH SCHOOL,7,1890,50,CAMDEN,HADDON TWP,98
THOMAS A. EDISON ELEMENTARY SCHOOL,7,1890,60,CAMDEN,HADDON TWP,98
CLYDE S. JENNINGS ELEMENTARY SCHOOL,7,1890,70,CAMDEN,HADDON TWP,98
STOY ELEMENTARY SCHOOL,7,1890,80,CAMDEN,HADDON TWP,97
STRAWBRIDGE ELEMENTARY SCHOOL,7,1890,90,CAMDEN,HADDON TWP,97
VAN SCIVER ELEMENTARY SCHOOL,7,1890,100,CAMDEN,HADDON TWP,98
WILLIAM G. ROHRER MIDDLE SCHOOL,7,1890,110,CAMDEN,HADDON TWP,96
Haddonfield Memorial High School,7,1900,50,CAMDEN,HADDONFIELD BORO,94
Central School,7,1900,60,CAMDEN,HADDONFIELD BORO,94
Haddonfield Middle School,7,1900,70,CAMDEN,HADDONFIELD BORO,94
Elizabeth Haddon School,7,1900,80,CAMDEN,HADDONFIELD BORO,94
J. Fithian Tatem School,7,1900,90,CAMDEN,HADDONFIELD BORO,96
Laurel Springs School,7,2540,50,CAMDEN,LAUREL SPRINGS BORO,98
Lawnside School,7,2560,60,CAMDEN,LAWNSIDE BORO,96
Lindenwold High School,7,2670,5,CAMDEN,LINDENWOLD BORO,97
Lindenwold School Four,7,2670,40,CAMDEN,LINDENWOLD BORO,97
Lindenwold School Five,7,2670,50,CAMDEN,LINDENWOLD BORO,97
Lindenwold Middle School,7,2670,90,CAMDEN,LINDENWOLD BORO,97
Lindenwold Preschool Building,7,2670,300,CAMDEN,LINDENWOLD BORO,97
Magnolia,7,2890,50,CAMDEN,MAGNOLIA BORO,98
Merchantville Elementary School,7,3110,60,CAMDEN,MERCHANTVILLE BORO,95
Raymond W. Kershaw School,7,3420,20,CAMDEN,MOUNT EPHRAIM BORO,97
Mary Bray Elementary School,7,3420,30,CAMDEN,MOUNT EPHRAIM BORO,97
Oaklyn Public School,7,3770,50,CAMDEN,OAKLYN BORO,97
PENNSAUKEN HIGH SCHOOL,7,4060,50,CAMDEN,PENNSAUKEN TWP,96
HOWARD M PHIFER MIDDLE SCHOOL,7,4060,55,CAMDEN,PENNSAUKEN TWP,96
BALDWIN ELEMENTARY SCHOOL,7,4060,90,CAMDEN,PENNSAUKEN TWP,94
BENJAMIN FRANKLIN ELEMENTARY SCHOOL,7,4060,100,CAMDEN,PENNSAUKEN TWP,84
A E BURLING ELEMENTARY SCHOOL,7,4060,104,CAMDEN,PENNSAUKEN TWP,71
DELAIR ELEMENTARY SCHOOL,7,4060,120,CAMDEN,PENNSAUKEN TWP,84
GH CARSON ELEMENTARY SCHOOL,7,4060,130,CAMDEN,PENNSAUKEN TWP,85
GEORGE B. FINE ELEMENTARY SCHOOL,7,4060,140,CAMDEN,PENNSAUKEN TWP,85
LONGFELLOW ELEMENTARY SCHOOL,7,4060,160,CAMDEN,PENNSAUKEN TWP,78
PENNSAUKEN INTERMEDIATE SCHOOL,7,4060,175,CAMDEN,PENNSAUKEN TWP,96
ROOSEVELT ELEMENTARY SCHOOL,7,4060,180,CAMDEN,PENNSAUKEN TWP,72
Overbrook Senior High School,7,4110,10,CAMDEN,PINE HILL BORO,95
Dr. Albert M. Bean School,7,4110,60,CAMDEN,PINE HILL BORO,95
John H. Glenn School,7,4110,70,CAMDEN,PINE HILL BORO,97
Pine Hill Middle School,7,4110,100,CAMDEN,PINE HILL BORO,95
Aline Bingham Elementary School,7,4590,20,CAMDEN,RUNNEMEDE BORO,100
Grade Downing Elementary School,7,4590,30,CAMDEN,RUNNEMEDE BORO,100
Mary E. Volz Elementary School,7,4590,40,CAMDEN,RUNNEMEDE BORO,100
Somerdale Park School,7,4790,20,CAMDEN,SOMERDALE BORO,97
Sterling High School,7,5035,50,CAMDEN,STERLING HIGH SCHOOL DIST,98
Parkivew Elementary School,7,5080,45,CAMDEN,STRATFORD BORO,98
Samuel S. Yellin Elementary School,7,5080,60,CAMDEN,STRATFORD BORO,99
Edward T. Hamilton,7,5400,20,CAMDEN,VOORHEES TWP,98
Kresson School,7,5400,55,CAMDEN,VOORHEES TWP,98
Osage School,7,5400,90,CAMDEN,VOORHEES TWP,98
Signal Hill School,7,5400,95,CAMDEN,VOORHEES TWP,97
Voorhees Middle School,7,5400,100,CAMDEN,VOORHEES TWP,97
Atco Elementary,7,5560,40,CAMDEN,WATERFORD TWP,96
Thomas Richards Elementary,7,5560,60,CAMDEN,WATERFORD TWP,96
Waterford Elementary School,7,5560,100,CAMDEN,WATERFORD TWP,97
Winslow Township High School,7,5820,10,CAMDEN,WINSLOW TWP,97
Winslow Township Middle School,7,5820,20,CAMDEN,WINSLOW TWP,5
Winslow Township Elementary School One,7,5820,30,CAMDEN,WINSLOW TWP,98
Winslow Township Elementary School Two,7,5820,40,CAMDEN,WINSLOW TWP,0
Winslow Township Elementary School Three,7,5820,50,CAMDEN,WINSLOW TWP,99
Winslow Township Elementary School Four,7,5820,60,CAMDEN,WINSLOW TWP,0
Winslow Township Elementary School Five,7,5820,70,CAMDEN,WINSLOW TWP,0
Winslow Township Elementary School Six,7,5820,80,CAMDEN,WINSLOW TWP,0
Woodlynne Boro Public School,7,5900,50,CAMDEN,WOODLYNNE BORO,100
Avalon Elementary School,9,170,10,CAPE MAY,AVALON BORO,97
Cape May City Elementary School,9,710,50,CAPE MAY,CAPE MAY CITY,95
Cape May County High School,9,715,20,CAPE MAY,CAPE MAY CO SPECIAL SERV,96
Ocean Academy,9,715,95,CAPE MAY,CAPE MAY CO SPECIAL SERV,96
Cape May County Technical High SChool,9,720,30,CAPE MAY,CAPE MAY CO VOCATIONAL,96
DENNIS TOWNSHIP PRIMARY SCHOOL,9,1080,40,CAPE MAY,DENNIS TWP,94
DENNIS TWP ELEMENTARY/MIDDLE SCHOOL,9,1080,50,CAPE MAY,DENNIS TWP,97
Lower Cape May Regional High School,9,2820,50,CAPE MAY,LOWER CAPE MAY REGIONAL,98
Richard M. Teitelman Middle School,9,2820,60,CAPE MAY,LOWER CAPE MAY REGIONAL,97
Sandman Consolidated School,9,2840,50,CAPE MAY,LOWER TWP,98
Maud Abrams School,9,2840,60,CAPE MAY,LOWER TWP,98
David C. Douglass Memorial School,9,2840,70,CAPE MAY,LOWER TWP,97
Carl T. Mitnick School,9,2840,80,CAPE MAY,LOWER TWP,97
Middle Township High School,9,3130,50,CAPE MAY,MIDDLE TWP,95
Middle Township Elementary #1,9,3130,80,CAPE MAY,MIDDLE TWP,94
Middle Township Elementary #2,9,3130,85,CAPE MAY,MIDDLE TWP,92
Middle Township Elementary #4,9,3130,91,CAPE MAY,MIDDLE TWP,94
MARGARET MACE ELEMENTARY SCHOOL,9,3680,60,CAPE MAY,NORTH WILDWOOD CITY,98
OCEAN CITY HIGH SCHOOL,9,3780,50,CAPE MAY,OCEAN CITY,97
OCEAN CITY INTERMEDIATE SCHOOL,9,3780,60,CAPE MAY,OCEAN CITY,97
OCEAN CITY PRIMARY SCHOOL,9,3780,70,CAPE MAY,OCEAN CITY,97
Stone Harbor Elementary School,9,5060,50,CAPE MAY,STONE HARBOR BORO,96
Upper Township Middle School,9,5340,30,CAPE MAY,UPPER TWP,100
Upper Township Elementary School,9,5340,50,CAPE MAY,UPPER TWP,100
Upper Township Primary School,9,5340,55,CAPE MAY,UPPER TWP,100
West Cape May Elementary School,9,5610,50,CAPE MAY,WEST CAPE MAY BORO,97
WILDWOOD HIGH SCHOOL,9,5790,50,CAPE MAY,WILDWOOD CITY,97
GLENWOOD AVE ELEMENTARY SCHOOL,9,5790,60,CAPE MAY,WILDWOOD CITY,97
WILDWOOD MIDDLE SCHOOL,9,5790,70,CAPE MAY,WILDWOOD CITY,97
CREST MEMORIAL SCHOOL,9,5800,30,CAPE MAY,WILDWOOD CREST BORO,97
Woodbine Elementary School,9,5840,50,CAPE MAY,WOODBINE BORO,96
Bridgeton High School,11,540,20,CUMBERLAND,BRIDGETON CITY,96
Broad Street School,11,540,30,CUMBERLAND,BRIDGETON CITY,96
Buckshutem Road School,11,540,50,CUMBERLAND,BRIDGETON CITY,96
Cherry Street School,11,540,55,CUMBERLAND,BRIDGETON CITY,96
Indian Ave School,11,540,60,CUMBERLAND,BRIDGETON CITY,96
Quarter Mile Land School,11,540,100,CUMBERLAND,BRIDGETON CITY,96
West Avenue School,11,540,130,CUMBERLAND,BRIDGETON CITY,97
Geraldine O Foster Early Childhood Center,11,540,150,CUMBERLAND,BRIDGETON CITY,96
Haleyville-Mauricetown Elementary School,11,950,25,CUMBERLAND,COMMERCIAL TWP,94
